Cylindrobasidium laeve
Cylindrocarpon aquaticum
Cylindrosporium acerinum
Cylindrosporium consociatum
Cylindrosporium negundinis
Cylindrosporium pseudoplatani
Cylindrosporium saccharinum
Cyptotrama costesii
Cystostereum murrayi
Cystostereum pini-canadensis
Cytodiplospora aceris
Cytospora ampulliformis
Cytospora annulata
Cytospora ceratosperma
Cytospora chrysosperma
Cytospora exasperans
Cytospora intermedia
Cytospora leucosperma
Cytospora populina
Cytospora pseudoplatani
Cytospora pulcherrima
Cytospora sorbicola
Cytosporina acharii
Cytosporina flavovirens
Dacrymyces capitatus
Dacrymyces chrysospermus
Dacrymyces stillatus
Dacryopinax elegans
Dactylaria acerina
Dactylaria parvispora
Daedalea ambigua
Daedalea quercina
Daedaleopsis confragosa
Daldinia childiae
Daldinia concentrica
Daldinia fissa
Daldinia grandis
Daldinia vanderguchtiae
Daldinia vernicosa
Davidsoniella virescens
Dematophora necatrix
Dendrocorticium violaceum
Dendrodochium nigrescens
Dendrominia dryina
Dendrophora erumpens
Dendrothele acerina
Dendrothele alliacea
Dendrothele candida
Dendrothele griseocana
Dendrothele incrustans
Dendrothele microspora
Dennisiella babingtonii
Dentocorticium sulphurellum
Depazea brunnea
Dermatea simillima
Desarmillaria tabescens
Diaporthe acericola
Diaporthe acerina
Diaporthe dubia
Diaporthe eres
Diaporthe fallaciosa
Diaporthe foeniculina
Diaporthe neotheicola
Diaporthe niessliana
Diaporthe rudis
Diaporthella sphendamnina
Diatrype albopruinosa
Diatrype asterostoma
Diatrype bullata
Diatrype decorticata
Diatrype disciformis
Diatrype hochelagae
Diatrype macounii
Diatrype polycocca
Diatrype rappazii
Diatrype spilomea
Diatrype stigma
Diatrype subaffixa
Diatrype whitmanensis
Diatrypella annulans
Diatrypella favacea
Diatrypella frostii
Diatrypella moravica
Diatrypella oregonensis
Diatrypella quercina
Diatrypella subfulva
Dicarpella dryina
Dichomera juglandis
Dichomera saubinetii
Dichostereum effuscatum
Dichostereum pallescens
Dicranidion ontariense
Didymella macrostoma
Didymella mycopappi
Didymosphaeria pulchella
Dimorphospora foliicola
Dinemasporium decipiens
Diplococcium catenulatum
Diplodia acericola
Diplodia acerina
Diplodia atrata
Diplodia atrata var. pseudoplatani
Diplodia oleae
Diplodia seriata
Diplodia subtecta
Diplodina acerina
Diplodina fusispora
Diplomitoporus crustulinus
Discella acerum
Discella pilosula
Discohainesia oenotherae
Discosia alboferruginea
Discosia artocreas
Discosia diedickeana
Discosia ludwigii
Discostroma muricatum
Discula campestris
Discula devastans
Dothidea collecta
Dothidea sambuci
Dothidotthia aspera
Dothidotthia negundinicola
Dothidotthia negundinis
Dothiora europaea
Dothiora maculans
Dothiorella sarmentorum
Drepanopeziza castagnei
Durella lecideola
Dwayaangam cornuta
Dyrithium lividum
Echinosphaeria strigosa
Efibula tuberculata
Efibulella deflectens
Elmerina caryae
Elongisporangium anandrum
Encoelia furfuracea
Endoconidiophora coerulescens
Endoperplexa enodulosa
Endophragmiella bisbyi
Endophragmiella ontariensis
Endophragmiella subolivacea
Endothia gyrosa
Engizostoma rugiellum
Entoleuca mammata
Entoloma cortinicinctum
Epicoccum negundinis
Epicoccum nigrum
Erysiphe penicillata
Euryachora rhytismoides
Eutypa flavovirens
Eutypa lata
Eutypa leioplaca
Eutypa leptoplaca
Eutypa ludibunda
Eutypa maura
Eutypa spinosa
Eutypa subtecta
Eutypa velutina
Eutypella angulosa f. negundinis
Eutypella corynostoma
Eutypella fraxinicola
Eutypella grandis
Eutypella leprosa
Eutypella parasitica
Eutypella stellulata
Eutypella tetraploa
Excipularia fusispora
Exidia glandulosa
Exidia recisa
Exidia thuretiana
Exidiopsis calcea
Exserohilum rostratum
Fabisporus sanguineus
Favolus alveolarius
Fenestella mougeotii
Fenestella phaeospora
Filosporella annelidica
Flagellospora curvula
Flammocladiella decora
Flammula alnicola
Flammulina velutipes
Fomes fasciatus
Fomes fomentarius
Fomes meliae
Fomes robustus
Fomitiporia mediterranea
Fomitiporia punctata
Fomitopsis pinicola
Fuckelia rhenana
Fulvia fulva
Fumago vagans
Funalia hispida
Fusarium cinnabarinum
Fusarium incarnatum
Fusarium lateritium
Fusarium nirenbergiae
Fusarium oligoseptatum
